"nm0000002";"Lauren Bacall";"174";"1924-09-16";\N
"nm0000009";"Richard Burton";"175";"1925-11-10";\N
"nm0000014";"Olivia de Havilland";"163";"1916-07-01";\N
"nm0000017";"Marlene Dietrich";"164";"1901-12-27";\N
"nm0000029";"Margaux Hemingway";"183";"1954-02-16";\N
"nm0000032";"Charlton Heston";"191";"1923-10-04";\N
"nm0000033";"Alfred Hitchcock";"170";"1899-08-13";\N
"nm0000040";"Stanley Kubrick";"169";"1928-07-26";\N
"nm0000041";"Akira Kurosawa";"182";"1910-03-23";\N
"nm0000042";"Alan Ladd";"168";"1913-09-03";\N
"nm0000057";"David Niven";"180";"1910-03-01";\N
"nm0000061";"Tyrone Power";"180";"1914-05-05";\N
"nm0000063";"Anthony Quinn";"188";"1915-04-21";\N
"nm0000080";"Orson Welles";"183";"1915-05-06";\N
"nm0000086";"Louis de Funès";"164";"1914-07-31";\N
"nm0000092";"John Cleese";"196";"1939-10-27";\N
"nm0000093";"Brad Pitt";"180";"1963-12-18";\N
"nm0000096";"Gillian Anderson";"160";"1968-08-09";\N
"nm0000099";"Patricia Arquette";"157";"1968-04-08";\N
"nm0000104";"Antonio Banderas";"174";"1960-08-10";\N
"nm0000105";"Adrienne Barbeau";"157";"1945-06-11";\N
"nm0000106";"Drew Barrymore";"163";"1975-02-22";\N
"nm0000108";"Luc Besson";"172";"1959-03-18";\N
"nm0000110";"Kenneth Branagh";"177";"1960-12-10";"tt3402236"
"nm0000113";"Sandra Bullock";"171";"1964-07-26";\N
"nm0000114";"Steve Buscemi";"175";"1957-12-13";"tt4686844"
"nm0000115";"Nicolas Cage";"183";"1964-01-07";\N
"nm0000119";"Tia Carrere";"173";"1967-01-02";\N
"nm0000123";"George Clooney";"180";"1961-05-06";\N
"nm0000126";"Kevin Costner";"185";"1955-01-18";\N
"nm0000130";"Jamie Lee Curtis";"170";"1958-11-22";"tt1502407"
"nm0000131";"John Cusack";"188";"1966-06-28";\N
"nm0000132";"Claire Danes";"166";"1979-04-12";\N
"nm0000136";"Johnny Depp";"178";"1963-06-09";\N
"nm0000138";"Leonardo DiCaprio";"183";"1974-11-11";\N
"nm0000140";"Michael Douglas";"178";"1944-09-25";\N
"nm0000146";"Ralph Fiennes";"180";"1962-12-22";\N
"nm0000147";"Colin Firth";"187";"1960-09-10";\N
"nm0000149";"Jodie Foster";"160";"1962-11-19";\N
"nm0000150";"Michael J. Fox";"163";"1961-06-09";\N
"nm0000151";"Morgan Freeman";"188";"1937-06-01";\N
"nm0000152";"Richard Gere";"178";"1949-08-31";\N
"nm0000153";"Gina Gershon";"168";"1962-06-10";\N
"nm0000154";"Mel Gibson";"177";"1956-01-03";\N
"nm0000155";"Whoopi Goldberg";"165";"1955-11-13";\N
"nm0000156";"Jeff Goldblum";"194";"1952-10-22";\N
"nm0000158";"Tom Hanks";"183";"1956-07-09";\N
"nm0000160";"Ethan Hawke";"179";"1970-11-06";\N
"nm0000161";"Salma Hayek";"157";"1966-09-02";\N
"nm0000162";"Anne Heche";"165";"1969-05-25";\N
"nm0000163";"Dustin Hoffman";"167";"1937-08-08";\N
"nm0000164";"Anthony Hopkins";"175";"1937-12-31";\N
"nm0000166";"Helen Hunt";"170";"1963-06-15";\N
"nm0000167";"Elizabeth Hurley";"173";"1965-06-10";\N
"nm0000168";"Samuel L. Jackson";"189";"1948-12-21";\N
"nm0000169";"Tommy Lee Jones";"183";"1946-09-15";\N
"nm0000170";"Milla Jovovich";"174";"1975-12-17";\N
"nm0000172";"Harvey Keitel";"171";"1939-05-13";\N
"nm0000173";"Nicole Kidman";"180";"1967-06-20";\N
"nm0000179";"Jude Law";"178";"1972-12-29";\N
"nm0000180";"David Lean";"186";"1908-03-25";\N
"nm0000182";"Jennifer Lopez";"164";"1969-07-24";\N
"nm0000183";"Traci Lords";"170";"1968-05-07";\N
"nm0000185";"Dolph Lundgren";"196";"1957-11-03";\N
"nm0000186";"David Lynch";"178";"1946-01-20";\N
"nm0000190";"Matthew McConaughey";"182";"1969-11-04";\N
"nm0000191";"Ewan McGregor";"177";"1971-03-31";\N
"nm0000193";"Demi Moore";"165";"1962-11-11";\N
"nm0000194";"Julianne Moore";"160";"1960-12-03";\N
"nm0000198";"Gary Oldman";"174";"1958-03-21";"tt4555426"
"nm0000200";"Bill Paxton";"183";"1955-05-17";\N
"nm0000201";"Michelle Pfeiffer";"171";"1958-04-29";\N
"nm0000202";"Ryan Phillippe";"173";"1974-09-10";\N
"nm0000204";"Natalie Portman";"160";"1981-06-09";\N
"nm0000206";"Keanu Reeves";"186";"1964-09-02";\N
"nm0000208";"Molly Ringwald";"173";"1968-02-18";\N
"nm0000210";"Julia Roberts";"175";"1967-10-28";\N
"nm0000211";"Mimi Rogers";"173";"1956-01-27";\N
"nm0000213";"Winona Ryder";"161";"1971-10-29";\N
"nm0000214";"Mia Sara";"163";"1967-06-19";\N
"nm0000218";"Kristin Scott Thomas";"168";"1960-05-24";\N
"nm0000219";"Steven Seagal";"193";"1952-04-10";\N
"nm0000220";"Joan Severance";"175";"1958-12-23";\N
"nm0000221";"Charlie Sheen";"178";"1965-09-03";\N
"nm0000222";"Brooke Shields";"183";"1965-05-31";\N
"nm0000223";"Elisabeth Shue";"157";"1963-10-06";\N
"nm0000224";"Alicia Silverstone";"165";"1976-10-04";\N
"nm0000225";"Christian Slater";"174";"1969-08-18";\N
"nm0000226";"Will Smith";"188";"1968-09-25";\N
"nm0000227";"Mira Sorvino";"178";"1967-09-28";\N
"nm0000230";"Sylvester Stallone";"177";"1946-07-06";\N
"nm0000234";"Charlize Theron";"177";"1975-08-07";"tt5610554"
"nm0000235";"Uma Thurman";"180";"1970-04-29";\N
"nm0000237";"John Travolta";"188";"1954-02-18";\N
"nm0000240";"Skeet Ulrich";"183";"1970-01-20";\N
"nm0000241";"Jean-Claude Van Damme";"177";"1960-10-18";\N
"nm0000242";"Mark Wahlberg";"173";"1971-06-05";\N
"nm0000243";"Denzel Washington";"185";"1954-12-28";"tt2671706"
"nm0000246";"Bruce Willis";"183";"1955-03-19";\N
"nm0000250";"Renée Zellweger";"160";"1969-04-25";\N
"nm0000254";"Isabelle Adjani";"163";"1955-06-27";\N
"nm0000255";"Ben Affleck";"192";"1972-08-15";\N
"nm0000264";"Pedro Almodóvar";"177";"1949-09-25";\N
"nm0000266";"Ursula Andress";"168";"1936-03-19";\N
"nm0000272";"Fanny Ardant";"174";"1949-03-22";\N
"nm0000274";"David Arquette";"178";"1971-09-08";\N
"nm0000275";"Rosanna Arquette";"164";"1959-08-10";\N
"nm0000276";"Sean Astin";"170";"1971-02-25";\N
"nm0000277";"Richard Attenborough";"170";"1923-08-29";\N
"nm0000278";"Pernilla August";"173";"1958-02-13";\N
"nm0000281";"Scott Baio";"178";"1960-09-22";\N
"nm0000285";"Alec Baldwin";"180";"1958-04-03";\N
"nm0000286";"Stephen Baldwin";"178";"1966-05-12";\N
"nm0000288";"Christian Bale";"183";"1974-01-30";"tt6266538"
"nm0000291";"Angela Bassett";"163";"1958-08-16";"tt1825683"
"nm0000293";"Sean Bean";"179";"1959-04-17";\N
"nm0000297";"Tom Berenger";"180";"1949-05-31";\N
"nm0000299";"Michael Biehn";"182";"1956-07-31";\N
"nm0000300";"Juliette Binoche";"168";"1964-03-09";\N
"nm0000301";"Thora Birch";"163";"1982-03-11";\N
"nm0000302";"Jacqueline Bisset";"169";"1944-09-13";\N
"nm0000307";"Helena Bonham Carter";"157";"1966-05-26";\N
"nm0000309";"David Bowie";"178";"1947-01-08";\N
"nm0000313";"Jeff Bridges";"187";"1949-12-04";\N
"nm0000319";"Yancy Butler";"170";"1970-07-02";\N
"nm0000321";"Gabriel Byrne";"178";"1950-05-12";\N
"nm0000322";"Emmanuelle Béart";"163";"1963-08-14";\N
"nm0000323";"Michael Caine";"188";"1933-03-14";\N
"nm0000324";"Barbara Carrera";"173";"1945-12-31";\N
"nm0000328";"Richard Chamberlain";"185";"1934-03-31";\N
"nm0000329";"Jackie Chan";"174";"1954-04-07";\N
"nm0000331";"Chevy Chase";"192";"1943-10-08";\N
"nm0000334";"Yun-Fat Chow";"186";"1955-05-18";\N
"nm0000335";"Glenn Close";"165";"1947-03-19";\N
"nm0000344";"Denise Crosby";"173";"1957-11-24";\N
"nm0000345";"Billy Crystal";"170";"1948-03-14";\N
"nm0000352";"Vincent D Onofrio";"192";"1959-06-30";\N
"nm0000353";"Willem Dafoe";"175";"1955-07-22";"tt5649144"
"nm0000354";"Matt Damon";"178";"1970-10-08";\N
"nm0000358";"Daniel Day-Lewis";"187";"1957-04-29";\N
"nm0000360";"Rebecca De Mornay";"166";"1959-08-29";\N
"nm0000362";"Danny DeVito";"147";"1944-11-17";\N
"nm0000363";"Loren Dean";"180";"1969-07-31";\N
"nm0000365";"Julie Delpy";"173";"1969-12-21";\N
"nm0000366";"Catherine Deneuve";"168";"1943-10-22";\N
"nm0000367";"Gérard Depardieu";"180";"1948-12-27";\N
"nm0000368";"Laura Dern";"178";"1967-02-10";"tt4015500"
"nm0000369";"Matt Dillon";"183";"1964-02-18";"tt4003440"
"nm0000374";"Brad Dourif";"175";"1950-03-18";\N
"nm0000375";"Robert Downey Jr.";"174";"1965-04-04";\N
"nm0000377";"Richard Dreyfuss";"165";"1947-10-29";\N
"nm0000378";"Minnie Driver";"178";"1970-01-31";\N
"nm0000379";"Kirsten Dunst";"170";"1982-04-30";\N
"nm0000382";"Atom Egoyan";"170";"1960-07-19";\N
"nm0000383";"Jennifer Ehle";"170";"1969-12-29";"tt2392830"
"nm0000385";"Sam Elliott";"188";"1944-08-09";"tt1517451,tt5655222"
"nm0000387";"Robert Englund";"179";"1947-06-06";\N
"nm0000389";"Emilio Estevez";"169";"1962-05-12";"tt3294746"
"nm0000391";"Rupert Everett";"193";"1959-05-29";"tt2404639"
"nm0000397";"Corey Feldman";"165";"1971-07-16";\N
"nm0000401";"Laurence Fishburne";"184";"1961-07-30";\N
"nm0000402";"Carrie Fisher";"155";"1956-10-21";"tt2527336"
"nm0000407";"Vivica A. Fox";"170";"1964-07-30";\N
"nm0000409";"Brendan Fraser";"190";"1968-12-03";\N
"nm0000416";"Terry Gilliam";"175";"1940-11-22";\N
"nm0000417";"Crispin Glover";"178";"1964-04-20";\N
"nm0000418";"Danny Glover";"192";"1946-07-22";\N
"nm0000420";"Valeria Golino";"170";"1965-10-22";\N
"nm0000421";"Cuba Gooding Jr.";"178";"1968-01-02";\N
"nm0000422";"John Goodman";"188";"1952-06-20";\N
"nm0000424";"Hugh Grant";"180";"1960-09-09";\N
"nm0000427";"Pam Grier";"173";"1949-05-26";\N
"nm0000434";"Mark Hamill";"175";"1951-09-25";"tt2527336"
"nm0000436";"Curtis Hanson";"185";"1945-03-24";\N
"nm0000437";"Woody Harrelson";"177";"1961-07-23";\N
"nm0000438";"Ed Harris";"175";"1950-11-28";\N
"nm0000439";"Neil Patrick Harris";"183";"1973-06-15";\N
"nm0000442";"Rutger Hauer";"187";"1944-01-23";\N
"nm0000444";"Glenne Headly";"173";"1955-03-13";\N
"nm0000447";"Marilu Henner";"170";"1952-04-06";\N
"nm0000448";"Lance Henriksen";"179";"1940-05-05";\N
